rank,percentileRank,acaiIndicators,institution,index,lat,lng,dx,dy,yype,researchActivity,regionalCoverage,sizeBucket,sizeStudentsInThousands,t1UniversityRulesPoliciesRegulations,t2CenterForTeachingAndLearning,t3AiInstituteInitiativeCenterHubAi,t4LibraryLibraryGuides,t5AcademicIntegrityHonorCode,t6AiSteeringCommitteeTaskForce,t7OtherRelevantLinks,,,
24,31,66.67,University of South Florida,U4,28.0583,-82.4134,0,0,Public Research-Oriented,R1,South,large,50,"- https://genai.usf.edu/at-usf/university-guidance   
- https://genai.usf.edu/at-usf/course-guidance   
- https://www.usf.edu/provost/faculty-success/teaching-learning/syllabus-course-guidance.aspx  
- https://lib.usf.edu/library-administration/ai-use-principles/","- https://www.usf.edu/citl/index.aspx 
- https://www.usf.edu/provost/faculty-success/teaching-learning/guidance-generative-ai.aspx 
- https://www.usf.edu/innovative-education/digital-learning/generative-ai/","- https://aix.eng.usf.edu/  
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/   
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/about/ ","- https://guides.lib.usf.edu/AI   
- https://guides.lib.usf.edu/AI/PRIMOAI   
- https://guides.lib.usf.edu/AI/atthelibraries   
- https://guides.lib.usf.edu/advancedcomputing 
- https://lib.usf.edu/library-administration/ai-use-principles/ ","- https://genai.usf.edu/at-usf/course-guidance  
- https://www.usf.edu/provost/faculty-success/teaching-learning/guidance-generative-ai.aspx 
- https://genai.usf.edu/at-usf/university-guidance ",- https://genai.usf.edu/at-usf/genai-task-force ,"- https://genai.usf.edu/  
- https://www.usf.edu/innovative-education/digital-learning/generative-ai/   
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/  
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/about/   
- https://www.usf.edu/ai-cybersecurity-computing/   ",,,
25,31,66.67,Syracuse University,U59,43.0379,-76.1358,0,0,Private Research-Oriented,R1,Northeast,large,22,"- https://policies.syr.edu/policies/academic-rules-student-responsibilities-and-services/academic-integrity-policy/ 
- https://its.syr.edu/aiforstudents/ 
- https://its.syr.edu/artificialintelligence/ 
- https://class.syr.edu/academic-integrity/syllabus-recommendations/ 
- https://academicaffairs.syracuse.edu/important-syllabus-reminders/ ","- https://teachingexcellence.syr.edu/resources/artificial-intelligence/teaching-and-learning-in-the-age-of-artificial-intelligence/   
- https://teachingexcellence.syr.edu/resources/generative-ai
- https://teachingexcellence.syr.edu/resources/generative-ai-and-chatgpt/ ",- https://its.syr.edu/artificialintelligence/ ,- https://researchguides.library.syr.edu/AI ,"- https://policies.syr.edu/policies/academic-rules-student-responsibilities-and-services/academic-integrity-policy/ 
- https://class.syr.edu/academic-integrity/syllabus-recommendations/ 
- https://class.syr.edu/academic-integrity/ ",None ,None,,,
26,34,65.15,University of Wyoming,U10,41.3114,-105.5911,0,0,Public Research-Oriented,R1,West,medium,12,- https://www.uwyo.edu/regs-policies/_files/docs/regulations-2023/uwreg2-114approved7-14-23.pdf ,- https://uwyo.libguides.com/aisupport/faculty ,"- https://www.uwyo.edu/president/initiatives/ai4wy/index.html   
- https://www.uwyo.edu/president/initiatives/ai4wy/about-us.html   
- https://www.uwyo.edu/president/initiatives/ai4wy/opportunities.html   
- https://www.uwyo.edu/soc/engagement/community-industry/wyo-ai.html   ",- https://uwyo.libguides.com/aisupport ,- https://www.uwyo.edu/regs-policies/_files/docs/regulations-2023/uwreg2-114approved7-14-23.pdf ,- https://www.uwyo.edu/acadaffairs/resources/ai-committee.html ,"- https://www.uwyo.edu/president/initiatives/ai4wy/index.html   
- https://www.uwyo.edu/president/initiatives/ai4wy/about-us.html   
- https://www.uwyo.edu/president/initiatives/ai4wy/opportunities.html     ",,,
27,34,65.15,The Ohio State University,U20,40.001,-83.0198,0,0,Public Research-Oriented,R1,Midwest,large,67,"- https://teaching.resources.osu.edu/teaching-topics/ai-considerations-teaching-learning   
- https://ai.osu.edu/resources-buckeyes/approved-ai-tools   
- https://teaching.resources.osu.edu/teaching-topics/ai-teaching-strategies-crafting   
- https://ugeducation.osu.edu/academics/standard-syllabus/standard-syllabus-statements 
- https://cdli.ehe.osu.edu/ai-in-ehe/updates-trends/osu-policy-guidance/
- https://ai.osu.edu/resources-buckeyes/responsible-use ","- https://teaching.resources.osu.edu/teaching-topics/ai-considerations-teaching-learning 
- https://ai.osu.edu/education-and-fluency/teach-ai 
- https://cdli.ehe.osu.edu/ai-in-ehe/ 
- https://drakeinstitute.osu.edu/institute-articles/artificial-intelligence-and-instruction 
- https://oaa.osu.edu/academic-excellence/ai-ohio-state/ai-fluency/faculty-support-and-learning-outcomes ","- https://ai.osu.edu/   
- https://ai.osu.edu/research-and-innovation/aix-hub-ai-innovation-public-good 
- https://oaa.osu.edu/academic-excellence/ai-ohio-state 
- https://cdli.ehe.osu.edu/ai-in-ehe/ai-learning-hub/ ","- https://guides.osu.edu/ai  
- https://guides.osu.edu/ai/ethics ","- https://oaa.osu.edu/resources/academic-integrity/student-misconduct   
- https://oaa.osu.edu/resources/policies-and-procedures/academic-integrity/faculty-obligations ",None,- https://aiedge.osu.edu/   ,,,
28,34,65.15,University of Southern California,U44,34.0224,-118.2851,0,0,Private Research-Oriented,R1,West,large,46,"- https://academicintegrity.usc.edu/faculty-resources/addressing-generative-ai/   
- https://itservices.usc.edu/ai-faqs/   
- https://careers.usc.edu/ai-guidelines/   
- https://libguides.usc.edu/generative-AI/scholarship-research 
- https://libguides.usc.edu/generative-AI/usc-guidelines ","- https://cet.usc.edu/ai-teaching-at-usc-tools-guidance-and-faculty-examples/   
- https://cet.usc.edu/ai-in-education-a-resource-hub/   
- https://cet.usc.edu/ai-in-education-faculty-institutes/   
- https://cet.usc.edu/cet-spring-faculty-showcase-ai-in-teaching/   
- https://cet.usc.edu/resource_topic/ai/  
- https://cet.usc.edu/teaching-resources/teaching-with-ai/ 
- https://academicprograms.usc.edu/services/excellence-in-teaching/ ","- https://www.usc.edu/ai/  
- https://ai.usc.edu/ai-at-usc/   
- https://www.cais.usc.edu/   
- https://dayofscupport.usc.edu/p/cais/c/   
- https://www.uscaims.org/about   
- https://aai.usc.edu/   
- https://sac.usc.edu/credif/ 
- https://sites.usc.edu/ai-knowledge-hub/ ","- https://libraries.usc.edu/ai-literacy   
- https://libraries.usc.edu/article/your-ai-questions-answered-usc-libraries   
- https://libguides.usc.edu/AIskeptic ","- https://academicintegrity.usc.edu/faculty-resources/addressing-generative-ai/   
- https://libguides.usc.edu/generative-AI/scholarship-research 
- https://sites.usc.edu/ai-knowledge-hub/ 
- https://academicintegrity.usc.edu/generative-ai-and-chatgpt-edu/ ",- https://www.president.usc.edu/presidential-initiatives/presidents-ai-strategy-committee/ ,"- https://www.usc.edu/ai/  
- https://ai.usc.edu/ai-at-usc/   
- https://aai.usc.edu/   
- https://www.cais.usc.edu/  
- https://caisplusplus.usc.edu/ ",,,
29,37,63.64,Mercer University,U39,32.3098,-84.9644,0,0,Private Research-Oriented,R2,South,medium,9,"- https://provost.mercer.edu/office-of-the-provost/honor-system/   
- https://ctl.mercer.edu/ai-resources/sample-syllabus-guidance-for-ai-use/  
- https://provost.mercer.edu/resources/ai-at-mercer/  
- https://mercer.libguides.com/ArtIntel ","- https://ctl.mercer.edu/ai-resources/sample-syllabus-guidance-for-ai-use/   
- https://ctl.mercer.edu/resources/   ",None,- https://mercer.libguides.com/AI ,"- https://provost.mercer.edu/office-of-the-provost/honor-system/   
- https://provost.mercer.edu/curriculum-information/syllabus-statements/   
- https://ctl.mercer.edu/ai-resources/sample-syllabus-guidance-for-ai-use/   
- https://provost.mercer.edu/resources/ai-at-mercer/ ",None,"- https://provost.mercer.edu/resources/ai-at-mercer/ 
- https://ctl.mercer.edu/ai-resources/sample-syllabus-guidance-for-ai-use/ ",,,
30,40,63.64,DePaul University,U54,41.9217,-87.6513,0,0,Private Research-Oriented,R2,Midwest,large,21,"- https://offices.depaul.edu/information-services/about/generative-ai/Pages/default.aspx   
- https://offices.depaul.edu/academic-affairs/faculty-resources/academic-integrity/Pages/violation.aspx 
- https://resources.depaul.edu/teaching-commons/teaching-guides/technology/artificial-intelligence/Pages/ai-detectors.aspx   
- https://library.depaul.edu/about/about-the-library/Pages/generative-ai-values.aspx ","- https://resources.depaul.edu/teaching-commons/programs/Pages/ai-program.aspx 
- https://resources.depaul.edu/teaching-commons/teaching-guides/technology/artificial-intelligence/Pages/teachingrecommendations.aspx ",- https://blogs.depaul.edu/ai-institute/ ,- https://library.depaul.edu/about/about-the-library/Pages/generative-ai-values.aspx ,"- https://offices.depaul.edu/academic-affairs/faculty-resources/academic-integrity/Pages/violation.aspx   
- https://resources.depaul.edu/teaching-commons/teaching-guides/technology/artificial-intelligence/Pages/teachingrecommendations.aspx ",- https://resources.depaul.edu/teaching-commons/teaching-guides/technology/artificial-intelligence/Pages/default.aspx ,"- https://offices.depaul.edu/information-services/about/generative-ai/Pages/default.aspx   
- https://offices.depaul.edu/information-services/about/generative-ai/Pages/ai-tools-at-depaul.aspx ",,,
31,40,63.64,Arizona State University,U13,33.4242,-111.9281,0,0,Public Research-Oriented,R1,West,large,78,"- https://ai.asu.edu/ai-tools   
- https://ai.asu.edu/policy-and-resources ","- https://provost.asu.edu/generative-ai 
- https://ai.asu.edu/ai-tools/learning-design-suite ","- https://ai.asu.edu/   
- https://smartchallenges.asu.edu/ ",- https://libguides.asu.edu/generativeai ,None,"- https://ai.asu.edu/ai-tools/asu-ai-advisory-committee   
- https://ai.asu.edu/faculty-ethics-committee-ai-technology ","- https://ai.asu.edu/   
- https://lx.asu.edu/tech-hub-ai    ",,,
32,40,63.64,Northern Illinois University,U24,41.9951,-88.2426,0,0,Public Research-Oriented,R2,Midwest,medium,12,"- https://www.niu.edu/provost/about/task-force.shtml   
- https://www.niu.edu/citl/online/standards-and-principles/checklists/course-technology.shtml   
- https://www.niu.edu/blackboard/content/ai-design-assistant.shtml   
- https://www.niu.edu/citl/resources/toolkits/artificial-intelligence/chatgpt-and-education.shtml   
- https://www.niu.edu/citl/resources/guides/class-policies-for-ai-tools.shtml ","- https://www.niu.edu/citl/programs/ai-network/index.shtml   
- https://www.niu.edu/citl/services/faculty-learning-communities.shtml   
- https://www.niu.edu/citl/programs/recordings/welcome-to-artificial-intelligence.shtml   
- https://www.niu.edu/citl/programs/recordings/ai-in-education.shtml   
- https://www.niu.edu/citl/resources/toolkits/artificial-intelligence/index.shtml   
- https://www.niu.edu/citl/programs/recordings/ai-looking-ahead.shtml 
- https://www.niu.edu/citl/resources/toolkits/artificial-intelligence/ai-tools.shtml 
- https://www.niu.edu/citl/resources/guides/class-policies-for-ai-tools.shtml ","- https://www.niu.edu/citl/programs/ai-network/index.shtml   
- https://www.niu.edu/provost/about/task-force.shtml ","- https://libguides.niu.edu/AI_library_service   
- https://libguides.niu.edu/AI_library_service/GTP-LLMS   
- https://libguides.niu.edu/AI_library_service/ethics_bias   
- https://libguides.niu.edu/AI_library_service/citation_copyright   
- https://libguides.niu.edu/c.php?g=1365265&p=10895504 ",- https://www.niu.edu/citl/resources/guides/class-policies-for-ai-tools.shtml,"- https://www.niu.edu/provost/about/task-force.shtml 
- https://www.niu.edu/citl/programs/ai-network/index.shtml ","- https://www.niu.edu/citl/programs/ai-network/index.shtml 
- https://www.niu.edu/academicaffairs/undergraduate-affairs/academic-support/mission-ai-chatbot.shtml 
- https://www.niu.edu/blackboard/content/ai-design-assistant.shtml 
- https://www.niu.edu/citl/programs/recordings/welcome-to-artificial-intelligence.shtml 
- https://www.niu.edu/citl/programs/recordings/ai-looking-ahead.shtml ",,,
33,40,63.64,University of South Alabama,U8,30.6954,-88.0399,0,0,Public Research-Oriented,R2,South,medium,16,"- https://www.southalabama.edu/departments/compliance/policylibrary/policy.html?doc=5D8D5472-5518-47A9-88C6-6344FD772CD2 
- https://libguides.southalabama.edu/c.php?g=1395847&p=10876813 ","- https://www.southalabama.edu/departments/ilc/minicourses.html  
- https://jagworks.southalabama.edu/southalabama-aialive/   
- https://libguides.southalabama.edu/ai_for_educators ","- https://sites.google.com/southalabama.edu/iaim/   
- https://www.southalabama.edu/departments/research/research-centers/ ",- https://jagworks.southalabama.edu/southalabama-aialive/ ,- https://els-bib.southalabama.edu/departments/ilc/minicourses.html ,None,None,,,
34,44,63.64,Fordham University,U60,40.862,-73.8857,0,0,Private Research-Oriented,R2,Northeast,medium,17,"- https://www.fordham.edu/information-technology/it-services/academic-technology/artificial-intelligence/fordham-policy-on-ai/ 
- https://www.fordham.edu/resources/policies/academic-integrity-policy/standards-of-academic-integrity/ 
- https://www.fordham.edu/about/leadership-and-administration/administrative-offices/office-of-the-provost/about-us/our-work/academics/teaching-and-learning/ 
- https://www.fordham.edu/about/leadership-and-administration/administrative-offices/office-of-the-provost/about-us/our-work/academic-initiatives/ai-vision-committee/ 
- https://www.fordham.edu/information-technology/it-services/academic-technology/artificial-intelligence/tools/ ",- https://www.fordham.edu/about/leadership-and-administration/administrative-offices/office-of-the-provost/about-us/our-work/academics/teaching-and-learning/ ,"- https://www.fordham.edu/ai-for-the-greater-good/ 
- https://www.fordham.edu/information-technology/it-services/academic-technology/artificial-intelligence/ ",- https://fordham.libguides.com/JSTOR-Research-Tool-Guide ,- https://bulletin.fordham.edu/undergraduate/academic-policies-procedures/academic-integrity-policy/ ,"- https://www.fordham.edu/about/leadership-and-administration/administrative-offices/office-of-the-provost/about-us/our-work/academic-initiatives/ai-vision-committee/
- https://www.fordham.edu/information-technology/it-services/academic-technology/artificial-intelligence/about-faculty-ai-group/ ","- https://www.fordham.edu/resources/policies/academic-integrity-policy/standards-of-academic-integrity/ 
- https://www.fordham.edu/ai-for-the-greater-good/ ",,,
35,44,63.64,Florida Institute of Technology,U41,28.064,-80.6219,0,0,Private Research-Oriented,R2,South,small,4,- https://www.fit.edu/policies/student-focused-policies/standards-and-policies/responsible-use-of-generative-ai-in-academic-work/ ,None,- https://www.fit.edu/provost/councils-and-committees/advisory-committee-for-ai-in-education/ ,None,"- https://www.fit.edu/policies/student-focused-policies/standards-and-policies/responsible-use-of-generative-ai-in-academic-work/   
- https://www.fit.edu/policies/academic/policies/student-academic-honesty-policy/   
- https://www.fit.edu/student-affairs/student-conduct/student-handbook/ ",None,"- https://www.fit.edu/provost/councils-and-committees/advisory-committee-for-ai-in-education/   
- https://research.fit.edu/craft/   
- https://research.fit.edu/autonomy-lab/ ",,,
36,46,62.12,Illinois State University,U22,40.5128,-88.9958,0,0,Public Research-Oriented,R2,Midwest,large,22,None,"- https://artificialintelligence.illinoisstate.edu/ 
- https://prodev.illinoisstate.edu/instructional-resources/pedagogy/ai/ 
- https://adaptiveedge.illinoisstate.edu/ 
- https://adaptiveedge.illinoisstate.edu/communities-of-practice/ 
- https://prodev.illinoisstate.edu/instructional-resources/pedagogy/ai/tilt/ ","- https://adaptiveedge.illinoisstate.edu/   
- https://artificialintelligence.illinoisstate.edu/ 
- https://adaptiveedge.illinoisstate.edu/communities-of-practice/ ",- https://guides.library.illinoisstate.edu/scholarlycommunication/ai ,- https://prodev.illinoisstate.edu/instructional-resources/pedagogy/ai/classroom/ ,- https://artificialintelligence.illinoisstate.edu/about/ ,"- https://artificialintelligence.illinoisstate.edu/   
- https://artificialintelligence.illinoisstate.edu/using-ai-at-isu/   
- https://adaptiveedge.illinoisstate.edu/   
- https://it.illinoisstate.edu/academics/information-systems ",,,
37,49,60.61,Pepperdine University,U46,34.033,-118.6829,0,0,Private Research-Oriented,R2,West,medium,10,"- https://community.pepperdine.edu/it/ai/default.htm   
- https://community.pepperdine.edu/it/ai/oversight-committee.htm   
- https://community.pepperdine.edu/it/ai/tiered-trust.htm  
- https://community.pepperdine.edu/it/security/policies/usagepolicy.htm   
- https://www.pepperdine.edu/about/administration/provost/content/ai-use-syllabus-statements.pdf 
- https://infoguides.pepperdine.edu/AIGSEP ",- https://community.pepperdine.edu/techlearn/ ,- https://community.pepperdine.edu/it/ai/default.htm ,"- https://infoguides.pepperdine.edu/artificialIntelligence_home 
- https://infoguides.pepperdine.edu/AI ","- https://community.pepperdine.edu/it/ai/default.htm   
- https://www.pepperdine.edu/about/administration/provost/content/ai-use-syllabus-statements.pdf ","- https://community.pepperdine.edu/it/ai/oversight-committee.htm 
- https://community.pepperdine.edu/it/ai/position-statement.htm ","- https://community.pepperdine.edu/it/ai/default.htm   
- https://community.pepperdine.edu/it/ai/oversight-committee.htm   
- https://community.pepperdine.edu/it/tools/gsuite/gemini.htm   
- https://community.pepperdine.edu/it/tools/zoom/aicompanion.htm   
- https://infoguides.pepperdine.edu/AI ",,,
38,49,60.61,University of Chicago,U48,41.7886,-87.5987,0,0,Private Research-Oriented,R1,Midwest,large,20,"- https://genai.uchicago.edu   
- https://academictech.uchicago.edu/generative-ai/   
- https://guides.lib.uchicago.edu/GenAI   
- https://genai.uchicago.edu/en/about/generative-ai-guidance 
- https://genai.uchicago.edu/generative-ai-tools/approved-restricted-and-unauthorized-tools 
- https://genai.uchicago.edu/en/resources/students 
- https://guides.lib.uchicago.edu/c.php?g=1371911&p=10145580 
- https://genai.uchicago.edu/en/resources/students/generative-ai-student-guide ","- https://teaching.uchicago.edu/resources/programming-and-resources-generative-ai   
- https://teaching.uchicago.edu/programs/teaching-generative-ai-landscape 
- https://teaching.uchicago.edu/sites/default/files/2023-09/CCTL_AI%20Syllabus%20Statements.pdf ",- https://genai.uchicago.edu/ ,"- https://guides.lib.uchicago.edu/GenAI   
- https://knowledge.uchicago.edu/record/16386 
- https://knowledge.uchicago.edu/record/16387 ","- https://guides.lib.uchicago.edu/c.php?g=1371911&p=10145580 
- https://genai.uchicago.edu/en/resources/students ","- https://provost.uchicago.edu/reports/report-advancing-computing-and-ai-committee 
- https://provost.uchicago.edu/reports ","- https://science.uchicago.edu/data-science-ai  
- https://datascience.uchicago.edu/   
- https://datascience.uchicago.edu/about/about-dsi/   
- https://datascience.uchicago.edu/research/ai-science/   
- https://codas.uchicago.edu/ ",,,
39,49,60.61,Montclair State University,U33,40.8584,-74.1981,0,0,Public Research-Oriented,R2,Northeast,medium,18,"- https://www.montclair.edu/faculty-excellence/ofe-teaching-principles/clear-course-design/practical-responses-to-chat-gpt/9569-2/ 
- https://www.montclair.edu/policies/all-policies/academic-integrity/ 
- https://www.montclair.edu/policies/all-policies/code-of-conduct/ ","- https://www.montclair.edu/itds/instructional-tech/ai/ 
- https://www.montclair.edu/faculty-excellence/ofe-teaching-principles/clear-course-design/practical-responses-to-chat-gpt/ 
- https://www.montclair.edu/faculty-excellence/category/generative-ai/ ","- https://www.montclairai.com/home 
- https://www.montclair.edu/itds/digital-pedagogy/pedagogical-strategies-and-practices/ai/ ",- https://montclair.libguides.com/ai ,"- https://www.montclair.edu/policies/all-policies/academic-integrity/   
- https://www.montclair.edu/itds/digital-pedagogy/pedagogical-strategies-and-practices/ai/ ",- https://www.montclair.edu/provost/blue-ribbon-task-force/ ,- https://www.montclair.edu/itds/instructional-tech/ai/image-generation/ ,,,
40,49,60.61,Binghamton University,U29,42.097,-75.2077,0,0,Public Research-Oriented,R1,Northeast,medium,19,"- https://www.binghamton.edu/operations/policies/policy-312.html 
- https://www.binghamton.edu/clt/resources/chat-gpt-info.html 
- https://libraryguides.binghamton.edu/ai 
- https://binghamton.teamdynamix.com/TDClient/45/Portal/KB/ArticleDet?ID=17631 ","- https://www.binghamton.edu/clt/resources/chat-gpt-info.html 
- https://www.binghamton.edu/clt/ ",None,- https://libraryguides.binghamton.edu/ai ,"- https://libraryguides.binghamton.edu/ai/whattoconsider  
- https://www.binghamton.edu/operations/policies/policy-312.html ",None,None,,,
41,49,60.61,Lake Forest College,U75,42.249,-87.8456,0,0,Teaching-Oriented/Liberal Arts,-,Midwest,small,2,"- https://www.lakeforest.edu/its/policies
- https://www.lakeforest.edu/academic-resources/writing-center/ai-use-and-resources/ai-resources-for-students",None,None,None,None,None,"- https://www.lakeforest.edu/academics/majors-and-minors/artificial-intelligence   
- https://www.lakeforest.edu/academics/human-grant",,,
42,53,57.58,Iowa State University,U21,42.026,-93.6463,0,0,Public Research-Oriented,R1,Midwest,large,31,- https://ai.iastate.edu/policies-and-compliance ,"- https://ai.iastate.edu/teaching-and-instruction   
- https://celt.iastate.edu/ai-in-teaching/ ","- https://trac-ai.iastate.edu/   
- https://ai.iastate.edu/ ","- https://instr.iastate.libguides.com/everydayai 
- https://instr.iastate.libguides.com/c.php?g=1069063&p=9953950 ","- https://studentconduct.dso.iastate.edu/know-code-resources/students   
- https://iastate.pressbooks.pub/academicintegrity/chapter/unauthorized-assistance/ 
- https://studentconduct.dso.iastate.edu/know-code-resources/facultystaff 
- https://studentconduct.dso.iastate.edu/know-code-resources/students ","- https://www.it.iastate.edu/projects/generative-artificial-intelligence   
- https://ai.iastate.edu/ ",- https://trac-ai.iastate.edu/  ,,,
43,56,57.58,Carleton College,U73,44.4572,-93.1632,0,0,Teaching-Oriented/Liberal Arts,-,Midwest,small,2,"- https://www.carleton.edu/ai/policies/ 
- https://www.carleton.edu/its/services/generative-ai/",None,- https://www.carleton.edu/ai/,- https://gouldguides.carleton.edu/c.php?g=146832&p=10719071,- https://www.carleton.edu/writing/plagiarism/plagiarism-and-ai/,- https://www.carleton.edu/ai/ai-coordinating-team/,- https://www.carleton.edu/writing/resources-for-faculty/working-with-ai/,,,
44,56,57.58,University of Washington-Seattle,U12,47.6553,-122.3035,0,0,Public Research-Oriented,R1,West,large,52,"- https://it.uw.edu/guides/security-authentication/artificial-intelligence-guidelines/   
- https://ois.uw.edu/guides-by-topic/security-authentication/artificial-intelligence-guidelines    
- https://finance.uw.edu/recmgt/UW-records-ai-guidance ","- https://teaching.washington.edu/learn/#ai-teaching-using-ai-to-advance-learning   
- https://teaching.washington.edu/learn/ai-to-advance-learning/ ","- https://xpai.engr.uw.edu/   
- https://globeai.uw.edu/    
- https://www.sciencehub.uw.edu/   
- https://it.uw.edu/guides/artificial-intelligence/ ",None,- https://www.washington.edu/cssc/for-students/academic-misconduct/ ,- https://it.uw.edu/initiatives/artificial-intelligence-ai/ ,"- https://www.sciencehub.uw.edu/   
- https://xpai.engr.uw.edu/   
- https://raise.uw.edu/  
- https://raise.uw.edu/ai-for-all/    
- https://it.uw.edu/uw-it/uw-it-strategy/technology-strategy-roadmap/ai-strategy/   ",,,
45,56,57.58,San José State University,U15,37.3352,-121.8811,0,0,Public Research-Oriented,R2,West,large,38,"- https://www.sjsu.edu/it/security/cybersecurity/ai-best-practices.php   
- https://library.sjsu.edu/chatgpt 
- https://library.sjsu.edu/plagiarism/ai-and-plagiarism ","- https://www.sjsu.edu/cfeti/teaching-resources/   
- https://www.sjsu.edu/cfeti/teaching-resources/ai-pedagogies/ai-faculty-fellow-events.php ","- https://sjsu.foleon.com/ai/sjsu-ai/ 
- https://www.sjsu.edu/it/campus-initiatives/ai-resources/index.php ","- https://library.sjsu.edu/librarychatbot   
- https://library.sjsu.edu/kingbot   
- https://www.sjlibrary.org/policy/chatbot-policy   
- https://library.sjsu.edu/chatgpt   
- https://library.sjsu.edu/OneSearch-research-assistant   
- https://library.sjsu.edu/librarychatbot ","- https://library.sjsu.edu/chatgpt/mystudentcheated   
- https://library.sjsu.edu/chatgpt 
- https://www.sjsu.edu/studentconduct/conduct-processes/academic-integrity.php ",- https://www.sjsu.edu/president/priorities-and-initiatives/artificial-intelligence/index.php ,"- https://www.sjsu.edu/it/campus-initiatives/ai-resources/index.php 
- https://www.sjsu.edu/it/campus-initiatives/index.php ",,,
46,61,56.06,Southern University and A & M College,U7,30.5164,-91.1867,0,0,Public Research-Oriented,R2,South,small,8,None,None,None,- https://subr.libguides.com/AI ,None,None,None,,,
47,61,56.06,Colby College,U76,44.5728,-69.6136,0,0,Teaching-Oriented/Liberal Arts,-,Northeast,small,2,"- https://life.colby.edu/your-safety/community-values-conflict-resolution-and-restorative-practice/student-handbook/   
- https://docs.google.com/document/d/1YEzjDQjBBcs0mVumcDlALn6I248ZzyAnmXaRQajy3IE/edit?tab=t.0#heading=h.1fjrc1sqdrqn","- https://www.colby.edu/center-for-teaching-and-learning/resources/
- https://sites.google.com/colby.edu/explore-ai/teach-with-ai
- https://sites.google.com/colby.edu/explore-ai/ 
- https://docs.google.com/document/d/1Ti2TXYoe4PbjjYWwgoJvZRU5rK_7HSl6d8iK-3-2TMg/edit?tab=t.0","- https://sites.google.com/colby.edu/explore-ai
- https://davisinstituteai.colby.edu/",- https://libguides.colby.edu/ai,- https://life.colby.edu/your-safety/community-values-conflict-resolution-and-restorative-practice/student-handbook/,None,- https://www.colby.edu/people/offices-directory/farnham-writers-center/fwc-ai-guidelines/ ,,,
48,61,56.06,Skidmore College,U78,43.045,-73.786,0,0,Teaching-Oriented/Liberal Arts,-,Northeast,small,3,"- https://leds.domains.skidmore.edu/ethical-considerations-for-ai/ 
- https://leds.domains.skidmore.edu/generative-ai-tools-and-their-uses-for-teaching-learning/",- https://www.skidmore.edu/cltl/pedagogical-resources/gen-ai-pedagogical-resources.php,None,None,- https://leds.domains.skidmore.edu/sample-ai-syllabi-statements/,None,- https://ai.domains.skidmore.edu/   ,,,
49,61,56.06,Saint Louis University,U51,38.636,-90.2585,0,0,Private Research-Oriented,R1,Midwest,medium,15,"- https://www.slu.edu/provost/policies/academic-and-course/academic-integrity-policy.pdf 
- https://www.slu.edu/provost/academic-integrity/index.php 
- https://www.slu.edu/provost/academic-integrity/glossary-of-terms.php 
- https://www.slu.edu/provost/academic-integrity/faculty-resources.php 
- https://www.slu.edu/provost/academic-integrity/faq.php   
- https://www.slu.edu/provost/ai-guidelines/complete-ai-guidelines.php 
- https://www.slu.edu/provost/ai-guidelines/index.php ","- https://www.slu.edu/cttl/resources/teaching-at-slu.php  
- https://www.slu.edu/cttl/resources/resource-docs/syllabus-statement-generative-ai.pdf  
- https://www.slu.edu/cttl/resources/resource-guides/considering-the-use-of-ai-in-your-course.pdf  
- https://www.slu.edu/provost/policies/academic-and-course/policy-course-syllabus.pdf 
- https://www.slu.edu/cttl/resources/resource-guides.php ",- https://www.slu.edu/provost/ai-guidelines/index.php ,- https://libguides.slu.edu/AI ,"- https://www.slu.edu/provost/academic-integrity/faq.php   
- https://www.slu.edu/provost/academic-integrity/faculty-resources.php   
- https://www.slu.edu/provost/academic-integrity/glossary-of-terms.php 
- https://www.slu.edu/provost/policies/academic-and-course/academic-integrity-policy.pdf ",- https://www.slu.edu/provost/ai-guidelines/complete-ai-guidelines.php ,None ,,,
50,61,56.06,Reed College,U69,45.4405,-122.661,0,0,Teaching-Oriented/Liberal Arts,-,West,small,1,"- https://www.reed.edu/ctl/reflect-generative-ai.html 
- https://www.reed.edu/governance/title-ix-policy/ ","- https://www.reed.edu/ctl/generative-ai.html 
- https://www.reed.edu/ctl/resources.html ",None,- https://libguides.reed.edu/chatgpt,None,None,- https://www.reed.edu/academic_support/ ,,,
51,66,54.55,Southern Wesleyan University,U64,34.6546,-82.7244,0,0,Teaching-Oriented/Liberal Arts,-,South,small,1,- https://libguides.swu.edu/ai,- https://libguides.swu.edu/ai ,None,- https://libguides.swu.edu/ai ,- https://libguides.swu.edu/c.php?g=1412131&p=10458938,None,None,,,
