Index,ACAI_equal_llm,ACAI_equal_human,Type,Research Activity,Regional Coverage,size_bucket,rank_llm,rank_human,abs_rank_diff,run_temperature
U61,40.97222222222222,41.31944444444444,Private Research-Oriented,R2,Northeast,small,55.0,73.0,18.0,0.5
U62,12.5,47.22222222222222,Private Research-Oriented,R2,Northeast,medium,71.0,66.0,5.0,0.5
U63,19.09722222222222,44.44444444444444,Private Research-Oriented,R2,Northeast,small,69.0,69.0,0.0,0.5
U64,12.499999999999998,53.47222222222222,Teaching-Oriented/Liberal Arts,-,South,small,72.0,54.5,17.5,0.5
U65,30.208333333333336,52.77777777777778,Teaching-Oriented/Liberal Arts,-,South,small,65.0,57.0,8.0,0.5
U66,51.04166666666667,48.26388888888889,Teaching-Oriented/Liberal Arts,-,South,small,42.0,63.0,21.0,0.5
U67,46.52777777777778,53.125,Teaching-Oriented/Liberal Arts,-,South,small,50.0,56.0,6.0,0.5
U68,0.0,42.36111111111111,Teaching-Oriented/Liberal Arts,-,West,small,77.0,71.0,6.0,0.5
U69,38.54166666666667,54.861111111111114,Teaching-Oriented/Liberal Arts,-,West,small,57.5,50.0,7.5,0.5
U7,0.0,55.55555555555556,Public Research-Oriented,R2,South,small,77.0,46.5,30.5,0.5
U70,41.666666666666664,67.36111111111111,Teaching-Oriented/Liberal Arts,-,West,small,54.0,17.0,37.0,0.5
U71,31.25,49.65277777777778,Teaching-Oriented/Liberal Arts,-,West,small,63.5,60.0,3.5,0.5
U72,50.34722222222222,33.333333333333336,Teaching-Oriented/Liberal Arts,-,Midwest,small,44.0,75.0,31.0,0.5
U73,60.76388888888889,55.55555555555555,Teaching-Oriented/Liberal Arts,-,Midwest,small,22.0,49.0,27.0,0.5
U74,0.0,42.01388888888889,Teaching-Oriented/Liberal Arts,-,Midwest,small,77.0,72.0,5.0,0.5
U75,30.208333333333332,60.763888888888886,Teaching-Oriented/Liberal Arts,-,Midwest,small,66.0,36.5,29.5,0.5
U76,43.05555555555556,55.55555555555556,Teaching-Oriented/Liberal Arts,-,Northeast,small,52.0,46.5,5.5,0.5
U77,47.56944444444443,55.55555555555556,Teaching-Oriented/Liberal Arts,-,Northeast,small,48.0,46.5,1.5,0.5
U78,44.79166666666667,53.47222222222222,Teaching-Oriented/Liberal Arts,-,Northeast,small,51.0,54.5,3.5,0.5
U79,59.02777777777778,69.79166666666666,Teaching-Oriented/Liberal Arts,-,Northeast,small,29.0,12.0,17.0,0.5
U8,28.819444444444446,62.5,Public Research-Oriented,R2,South,medium,67.0,31.0,36.0,0.5
U9,31.25,28.47222222222222,Public Research-Oriented,R2,South,small,63.5,76.0,12.5,0.5
U1,40.27777777777777,70.83333333333333,Public Research-Oriented,R1,South,large,54.0,9.0,45.0,1.0
U10,43.40277777777777,60.763888888888886,Public Research-Oriented,R1,West,medium,51.0,36.5,14.5,1.0
U11,63.19444444444444,65.62500000000001,Public Research-Oriented,R1,West,large,20.0,21.0,1.0,1.0
U12,45.13888888888889,56.94444444444444,Public Research-Oriented,R1,West,large,49.0,44.0,5.0,1.0
U13,36.11111111111111,60.763888888888886,Public Research-Oriented,R1,West,large,61.0,36.5,24.5,1.0
U14,62.84722222222223,63.54166666666667,Public Research-Oriented,R2,West,large,21.0,27.5,6.5,1.0
U15,52.43055555555555,58.33333333333333,Public Research-Oriented,R2,West,large,41.0,41.0,0.0,1.0
U16,59.375,79.8611111111111,Public Research-Oriented,R2,West,large,27.0,2.0,25.0,1.0
U17,36.80555555555555,54.86111111111111,Public Research-Oriented,R2,West,medium,59.0,51.0,8.0,1.0
U18,67.36111111111111,68.75,Public Research-Oriented,R1,Midwest,large,11.0,14.5,3.5,1.0
U19,68.75,53.81944444444444,Public Research-Oriented,R1,Midwest,large,9.0,53.0,44.0,1.0
U2,62.15277777777777,77.08333333333333,Public Research-Oriented,R1,South,large,23.0,4.0,19.0,1.0
U20,61.80555555555556,63.541666666666664,Public Research-Oriented,R1,Midwest,large,24.0,29.5,5.5,1.0
U21,63.541666666666664,57.638888888888886,Public Research-Oriented,R1,Midwest,large,19.0,43.0,24.0,1.0
U22,85.41666666666666,60.06944444444444,Public Research-Oriented,R2,Midwest,large,1.0,39.0,38.0,1.0
U23,47.56944444444445,55.55555555555556,Public Research-Oriented,R2,Midwest,medium,48.0,46.5,1.5,1.0
U24,70.83333333333334,63.54166666666667,Public Research-Oriented,R2,Midwest,medium,6.0,27.5,21.5,1.0
U25,40.97222222222222,50.0,Public Research-Oriented,R2,Midwest,large,53.0,58.5,5.5,1.0
U26,65.27777777777777,72.56944444444444,Public Research-Oriented,R1,Northeast,large,16.0,8.0,8.0,1.0
U27,69.09722222222223,81.94444444444444,Public Research-Oriented,R1,Northeast,medium,8.0,1.0,7.0,1.0
U28,57.98611111111111,75.69444444444444,Public Research-Oriented,R1,Northeast,large,30.5,5.0,25.5,1.0
U29,58.33333333333333,61.11111111111111,Public Research-Oriented,R1,Northeast,medium,28.0,33.0,5.0,1.0
U3,65.625,65.97222222222221,Public Research-Oriented,R1,South,large,14.5,20.0,5.5,1.0
U30,3.125,27.430555555555554,Public Research-Oriented,R2,Northeast,small,74.0,77.0,3.0,1.0
U31,65.625,68.75,Public Research-Oriented,R2,Northeast,large,14.5,14.5,0.0,1.0
U32,32.98611111111111,50.0,Public Research-Oriented,R2,Northeast,medium,63.0,58.5,4.5,1.0
U33,79.16666666666667,61.45833333333333,Public Research-Oriented,R2,Northeast,medium,2.0,32.0,30.0,1.0
U34,51.041666666666664,63.541666666666664,Private Research-Oriented,R1,South,medium,44.0,29.5,14.5,1.0
U35,55.90277777777778,74.65277777777779,Private Research-Oriented,R1,South,large,36.0,6.0,30.0,1.0
U36,38.888888888888886,66.66666666666666,Private Research-Oriented,R1,South,medium,57.0,18.0,39.0,1.0
U37,33.333333333333336,45.13888888888889,Private Research-Oriented,R1,South,large,62.0,68.0,6.0,1.0
U38,0.0,48.958333333333336,Private Research-Oriented,R2,South,small,77.5,61.0,16.5,1.0
U39,65.97222222222221,60.76388888888889,Private Research-Oriented,R2,South,medium,13.0,34.0,21.0,1.0
U4,61.458333333333336,66.31944444444446,Public Research-Oriented,R1,South,large,25.0,19.0,6.0,1.0
U40,7.638888888888889,24.652777777777775,Private Research-Oriented,R2,South,small,73.0,78.0,5.0,1.0
U41,51.388888888888886,60.763888888888886,Private Research-Oriented,R2,South,small,42.0,36.5,5.5,1.0
U42,72.22222222222221,77.08333333333334,Private Research-Oriented,R1,West,medium,3.5,3.0,0.5,1.0
U43,55.20833333333333,43.402777777777786,Private Research-Oriented,R1,West,small,37.0,70.0,33.0,1.0
U44,57.986111111111114,64.2361111111111,Private Research-Oriented,R1,West,large,29.0,23.5,5.5,1.0
U45,48.26388888888889,48.95833333333333,Private Research-Oriented,R1,West,medium,47.0,62.0,15.0,1.0
U46,52.77777777777778,54.166666666666664,Private Research-Oriented,R2,West,medium,39.0,52.0,13.0,1.0
U47,56.59722222222222,68.40277777777779,Private Research-Oriented,R2,West,medium,34.0,16.0,18.0,1.0
U48,56.249999999999986,58.68055555555556,Private Research-Oriented,R1,Midwest,large,35.0,40.0,5.0,1.0
U49,0.0,72.91666666666666,Private Research-Oriented,R1,Midwest,medium,77.5,7.0,70.5,1.0
U5,57.63888888888889,69.79166666666667,Public Research-Oriented,R1,South,large,32.0,11.0,21.0,1.0
U50,69.44444444444444,70.13888888888889,Private Research-Oriented,R1,Midwest,medium,7.0,10.0,3.0,1.0
U51,60.06944444444444,57.986111111111114,Private Research-Oriented,R1,Midwest,medium,26.0,42.0,16.0,1.0
U52,64.58333333333333,37.84722222222222,Private Research-Oriented,R2,Midwest,medium,17.0,74.0,57.0,1.0
U53,48.95833333333333,48.263888888888886,Private Research-Oriented,R2,Midwest,small,46.0,64.0,18.0,1.0
U54,71.18055555555556,63.888888888888886,Private Research-Oriented,R2,Midwest,large,5.0,25.5,20.5,1.0
U55,20.13888888888889,23.958333333333332,Private Research-Oriented,R2,Midwest,medium,68.0,79.0,11.0,1.0
U56,67.3611111111111,69.44444444444444,Private Research-Oriented,R1,Northeast,medium,12.0,13.0,1.0,1.0
U57,38.54166666666667,45.83333333333333,Private Research-Oriented,R1,Northeast,medium,58.0,67.0,9.0,1.0
U58,57.638888888888886,65.625,Private Research-Oriented,R1,Northeast,small,33.0,22.0,11.0,1.0
U59,62.84722222222222,64.2361111111111,Private Research-Oriented,R1,Northeast,large,22.0,23.5,1.5,1.0
U6,13.194444444444445,47.56944444444444,Public Research-Oriented,R2,South,large,70.0,65.0,5.0,1.0
U60,72.22222222222221,63.888888888888886,Private Research-Oriented,R2,Northeast,medium,3.5,25.5,22.0,1.0
U61,39.58333333333333,41.31944444444444,Private Research-Oriented,R2,Northeast,small,55.5,73.0,17.5,1.0
U62,13.541666666666666,47.22222222222222,Private Research-Oriented,R2,Northeast,medium,69.0,66.0,3.0,1.0
U63,8.333333333333332,44.44444444444444,Private Research-Oriented,R2,Northeast,small,72.0,69.0,3.0,1.0
U64,10.416666666666666,53.47222222222222,Teaching-Oriented/Liberal Arts,-,South,small,71.0,54.5,16.5,1.0
U65,27.77777777777778,52.77777777777778,Teaching-Oriented/Liberal Arts,-,South,small,66.0,57.0,9.0,1.0
U66,49.65277777777778,48.26388888888889,Teaching-Oriented/Liberal Arts,-,South,small,45.0,63.0,18.0,1.0
U67,51.04166666666667,53.125,Teaching-Oriented/Liberal Arts,-,South,small,43.0,56.0,13.0,1.0
U68,2.083333333333333,42.36111111111111,Teaching-Oriented/Liberal Arts,-,West,small,75.0,71.0,4.0,1.0
U69,53.125,54.861111111111114,Teaching-Oriented/Liberal Arts,-,West,small,38.0,50.0,12.0,1.0
U7,0.0,55.55555555555556,Public Research-Oriented,R2,South,small,77.5,46.5,31.0,1.0
U70,42.708333333333336,67.36111111111111,Teaching-Oriented/Liberal Arts,-,West,small,52.0,17.0,35.0,1.0
U71,21.874999999999996,49.65277777777778,Teaching-Oriented/Liberal Arts,-,West,small,67.0,60.0,7.0,1.0
U72,63.54166666666667,33.333333333333336,Teaching-Oriented/Liberal Arts,-,Midwest,small,18.0,75.0,57.0,1.0
U73,68.05555555555554,55.55555555555555,Teaching-Oriented/Liberal Arts,-,Midwest,small,10.0,49.0,39.0,1.0
U74,0.0,42.01388888888889,Teaching-Oriented/Liberal Arts,-,Midwest,small,77.5,72.0,5.5,1.0
U75,28.472222222222225,60.763888888888886,Teaching-Oriented/Liberal Arts,-,Midwest,small,64.5,36.5,28.0,1.0
U76,36.45833333333333,55.55555555555556,Teaching-Oriented/Liberal Arts,-,Northeast,small,60.0,46.5,13.5,1.0
U77,44.79166666666667,55.55555555555556,Teaching-Oriented/Liberal Arts,-,Northeast,small,50.0,46.5,3.5,1.0
U78,52.43055555555556,53.47222222222222,Teaching-Oriented/Liberal Arts,-,Northeast,small,40.0,54.5,14.5,1.0
U79,57.98611111111111,69.79166666666666,Teaching-Oriented/Liberal Arts,-,Northeast,small,30.5,12.0,18.5,1.0
U8,28.472222222222225,62.5,Public Research-Oriented,R2,South,medium,64.5,31.0,33.5,1.0
U9,39.58333333333333,28.47222222222222,Public Research-Oriented,R2,South,small,55.5,76.0,20.5,1.0
U1,36.80555555555556,70.83333333333333,Public Research-Oriented,R1,South,large,60.5,9.0,51.5,1.5
U10,60.41666666666667,60.763888888888886,Public Research-Oriented,R1,West,medium,20.0,36.5,16.5,1.5
U11,67.36111111111111,65.62500000000001,Public Research-Oriented,R1,West,large,6.0,21.0,15.0,1.5
U12,41.666666666666664,56.94444444444444,Public Research-Oriented,R1,West,large,55.5,44.0,11.5,1.5
U13,48.61111111111111,60.763888888888886,Public Research-Oriented,R1,West,large,46.0,36.5,9.5,1.5
U14,67.0138888888889,63.54166666666667,Public Research-Oriented,R2,West,large,8.0,27.5,19.5,1.5
U15,46.52777777777777,58.33333333333333,Public Research-Oriented,R2,West,large,49.0,41.0,8.0,1.5
U16,58.68055555555556,79.8611111111111,Public Research-Oriented,R2,West,large,25.0,2.0,23.0,1.5
U17,45.13888888888889,54.86111111111111,Public Research-Oriented,R2,West,medium,51.0,51.0,0.0,1.5
U18,68.05555555555554,68.75,Public Research-Oriented,R1,Midwest,large,4.5,14.5,10.0,1.5
U19,64.58333333333334,53.81944444444444,Public Research-Oriented,R1,Midwest,large,14.5,53.0,38.5,1.5
U2,64.23611111111111,77.08333333333333,Public Research-Oriented,R1,South,large,16.0,4.0,12.0,1.5
U20,57.638888888888886,63.541666666666664,Public Research-Oriented,R1,Midwest,large,27.5,29.5,2.0,1.5
U21,50.34722222222222,57.638888888888886,Public Research-Oriented,R1,Midwest,large,39.5,43.0,3.5,1.5
U22,76.3888888888889,60.06944444444444,Public Research-Oriented,R2,Midwest,large,1.0,39.0,38.0,1.5
U23,54.166666666666664,55.55555555555556,Public Research-Oriented,R2,Midwest,medium,33.5,46.5,13.0,1.5
U24,60.416666666666664,63.54166666666667,Public Research-Oriented,R2,Midwest,medium,21.0,27.5,6.5,1.5
U25,48.958333333333336,50.0,Public Research-Oriented,R2,Midwest,large,45.0,58.5,13.5,1.5
U26,59.02777777777777,72.56944444444444,Public Research-Oriented,R1,Northeast,large,24.0,8.0,16.0,1.5
U27,57.638888888888886,81.94444444444444,Public Research-Oriented,R1,Northeast,medium,27.5,1.0,26.5,1.5
U28,59.72222222222223,75.69444444444444,Public Research-Oriented,R1,Northeast,large,22.0,5.0,17.0,1.5
U29,54.166666666666664,61.11111111111111,Public Research-Oriented,R1,Northeast,medium,33.5,33.0,0.5,1.5
U3,66.31944444444444,65.97222222222221,Public Research-Oriented,R1,South,large,10.0,20.0,10.0,1.5
U30,7.291666666666666,27.430555555555554,Public Research-Oriented,R2,Northeast,small,75.0,77.0,2.0,1.5
U31,63.888888888888886,68.75,Public Research-Oriented,R2,Northeast,large,17.0,14.5,2.5,1.5
U32,43.05555555555555,50.0,Public Research-Oriented,R2,Northeast,medium,53.0,58.5,5.5,1.5
U33,66.66666666666666,61.45833333333333,Public Research-Oriented,R2,Northeast,medium,9.0,32.0,23.0,1.5
U34,49.30555555555555,63.541666666666664,Private Research-Oriented,R1,South,medium,43.5,29.5,14.0,1.5
U35,44.79166666666667,74.65277777777779,Private Research-Oriented,R1,South,large,52.0,6.0,46.0,1.5
U36,37.50000000000001,66.66666666666666,Private Research-Oriented,R1,South,medium,59.0,18.0,41.0,1.5
U37,45.486111111111114,45.13888888888889,Private Research-Oriented,R1,South,large,50.0,68.0,18.0,1.5
U38,0.0,48.958333333333336,Private Research-Oriented,R2,South,small,78.0,61.0,17.0,1.5
U39,57.98611111111111,60.76388888888889,Private Research-Oriented,R2,South,medium,26.0,34.0,8.0,1.5
U4,62.5,66.31944444444446,Public Research-Oriented,R1,South,large,19.0,19.0,0.0,1.5
U40,7.638888888888889,24.652777777777775,Private Research-Oriented,R2,South,small,74.0,78.0,4.0,1.5
U41,54.861111111111114,60.763888888888886,Private Research-Oriented,R2,South,small,31.0,36.5,5.5,1.5
U42,65.97222222222221,77.08333333333334,Private Research-Oriented,R1,West,medium,11.5,3.0,8.5,1.5
U43,51.04166666666667,43.402777777777786,Private Research-Oriented,R1,West,small,38.0,70.0,32.0,1.5
U44,62.84722222222222,64.2361111111111,Private Research-Oriented,R1,West,large,18.0,23.5,5.5,1.5
U45,42.70833333333333,48.95833333333333,Private Research-Oriented,R1,West,medium,54.0,62.0,8.0,1.5
U46,50.34722222222222,54.166666666666664,Private Research-Oriented,R2,West,medium,39.5,52.0,12.5,1.5
U47,49.30555555555555,68.40277777777779,Private Research-Oriented,R2,West,medium,43.5,16.0,27.5,1.5
U48,64.58333333333334,58.68055555555556,Private Research-Oriented,R1,Midwest,large,14.5,40.0,25.5,1.5
U49,19.09722222222222,72.91666666666666,Private Research-Oriented,R1,Midwest,medium,68.0,7.0,61.0,1.5
U5,54.51388888888889,69.79166666666667,Public Research-Oriented,R1,South,large,32.0,11.0,21.0,1.5
U50,68.75,70.13888888888889,Private Research-Oriented,R1,Midwest,medium,2.0,10.0,8.0,1.5
U51,51.736111111111114,57.986111111111114,Private Research-Oriented,R1,Midwest,medium,36.0,42.0,6.0,1.5
U52,67.3611111111111,37.84722222222222,Private Research-Oriented,R2,Midwest,medium,7.0,74.0,67.0,1.5
U53,53.47222222222222,48.263888888888886,Private Research-Oriented,R2,Midwest,small,35.0,64.0,29.0,1.5
U54,65.97222222222221,63.888888888888886,Private Research-Oriented,R2,Midwest,large,11.5,25.5,14.0,1.5
U55,15.625,23.958333333333332,Private Research-Oriented,R2,Midwest,medium,69.0,79.0,10.0,1.5
U56,56.94444444444444,69.44444444444444,Private Research-Oriented,R1,Northeast,medium,29.0,13.0,16.0,1.5
U57,36.80555555555556,45.83333333333333,Private Research-Oriented,R1,Northeast,medium,60.5,67.0,6.5,1.5
U58,65.625,65.625,Private Research-Oriented,R1,Northeast,small,13.0,22.0,9.0,1.5
U59,68.05555555555556,64.2361111111111,Private Research-Oriented,R1,Northeast,large,3.0,23.5,20.5,1.5
U6,13.541666666666666,47.56944444444444,Public Research-Oriented,R2,South,large,70.0,65.0,5.0,1.5
U60,68.05555555555554,63.888888888888886,Private Research-Oriented,R2,Northeast,medium,4.5,25.5,21.0,1.5
U61,47.916666666666664,41.31944444444444,Private Research-Oriented,R2,Northeast,small,47.0,73.0,26.0,1.5
U62,12.5,47.22222222222222,Private Research-Oriented,R2,Northeast,medium,71.0,66.0,5.0,1.5
U63,8.680555555555555,44.44444444444444,Private Research-Oriented,R2,Northeast,small,73.0,69.0,4.0,1.5
U64,10.416666666666666,53.47222222222222,Teaching-Oriented/Liberal Arts,-,South,small,72.0,54.5,17.5,1.5
U65,34.02777777777778,52.77777777777778,Teaching-Oriented/Liberal Arts,-,South,small,65.0,57.0,8.0,1.5
U66,59.72222222222222,48.26388888888889,Teaching-Oriented/Liberal Arts,-,South,small,23.0,63.0,40.0,1.5
U67,51.388888888888886,53.125,Teaching-Oriented/Liberal Arts,-,South,small,37.0,56.0,19.0,1.5
U68,5.555555555555555,42.36111111111111,Teaching-Oriented/Liberal Arts,-,West,small,76.0,71.0,5.0,1.5
U69,36.45833333333333,54.861111111111114,Teaching-Oriented/Liberal Arts,-,West,small,63.0,50.0,13.0,1.5
U7,0.0,55.55555555555556,Public Research-Oriented,R2,South,small,78.0,46.5,31.5,1.5
U70,40.27777777777778,67.36111111111111,Teaching-Oriented/Liberal Arts,-,West,small,57.0,17.0,40.0,1.5
U71,20.833333333333332,49.65277777777778,Teaching-Oriented/Liberal Arts,-,West,small,67.0,60.0,7.0,1.5
U72,49.65277777777778,33.333333333333336,Teaching-Oriented/Liberal Arts,-,Midwest,small,41.0,75.0,34.0,1.5
U73,56.25,55.55555555555555,Teaching-Oriented/Liberal Arts,-,Midwest,small,30.0,49.0,19.0,1.5
U74,0.0,42.01388888888889,Teaching-Oriented/Liberal Arts,-,Midwest,small,78.0,72.0,6.0,1.5
U75,36.80555555555555,60.763888888888886,Teaching-Oriented/Liberal Arts,-,Midwest,small,62.0,36.5,25.5,1.5
U76,34.37499999999999,55.55555555555556,Teaching-Oriented/Liberal Arts,-,Northeast,small,64.0,46.5,17.5,1.5
U77,49.65277777777777,55.55555555555556,Teaching-Oriented/Liberal Arts,-,Northeast,small,42.0,46.5,4.5,1.5
U78,41.666666666666664,53.47222222222222,Teaching-Oriented/Liberal Arts,-,Northeast,small,55.5,54.5,1.0,1.5
U79,46.875,69.79166666666666,Teaching-Oriented/Liberal Arts,-,Northeast,small,48.0,12.0,36.0,1.5
U8,29.86111111111111,62.5,Public Research-Oriented,R2,South,medium,66.0,31.0,35.0,1.5
U9,38.54166666666667,28.47222222222222,Public Research-Oriented,R2,South,small,58.0,76.0,18.0,1.5
